DOMESTIC/REGIONAL AIRLINES,,,,,,,,,,,,,,,,,,,,
INDUSTRY TOTALS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Note:,"Industry totals, and some city pairs shown on the 'Top Routes' worksheet, include carriage",,,,,,,,,,,,,,,,,,,
,by Australian international airlines operating between Australian airports as part of an international flight.,,,,,,,,,,,,,,,,,,,
,"As a result, these statistics will not match the sum of the domestic and regional airline sectors shown in",,,,,,,,,,,,,,,,,,,
,other spreadsheets available for download from this web site.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Monthly totals,,,,,,,,,,,,Moving annual totals,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
City Pair Route,,Year,Month,Revenue,Aircraft,Rev Pax,Distance,RPKs,ASKs,Seats,,Revenue,Aircraft,Rev Pax,,RPKs,ASKs,Seats,,City Pair Route
Industry Domestic/Regional,,,,Passengers,Trips,LF %,GC (klm),,,,,Passengers,Trips,LF %,,,,,,
ABX,SYD,2006,9,"13,887",463,71.7,452,"6,276,924","8,752,980","19,365",,"147,003","5,361",68.3,,"66,445,356","97,306,108","215,279",,Albury - Sydney
ABX,SYD,2006,10,"13,248",467,68.4,452,"5,988,096","8,752,076","19,363",,"147,824","5,366",68.6,,"66,816,448","97,446,228","215,589",,Albury - Sydney
ABX,SYD,2006,11,"13,513",457,72.6,452,"6,107,876","8,416,692","18,621",,"149,142","5,370",69.2,,"67,412,184","97,479,224","215,662",,Albury - Sydney
ABX,SYD,2006,12,"12,294",430,70.3,452,"5,556,888","7,906,836","17,493",,"150,011","5,368",69.7,,"67,804,972","97,345,432","215,366",,Albury - Sydney
ABX,SYD,2007,1,"10,345",360,72.2,452,"4,675,940","6,478,064","14,332",,"150,027","5,333",69.7,,"67,812,204","97,270,852","215,201",,Albury - Sydney
ABX,SYD,2007,2,"11,618",430,66.4,452,"5,251,336","7,905,932","17,491",,"151,045","5,347",69.7,,"68,272,340","97,948,852","216,701",,Albury - Sydney
ABX,SYD,2007,3,"14,337",484,72.2,452,"6,480,324","8,979,884","19,867",,"152,344","5,361",69.7,,"68,859,488","98,762,452","218,501",,Albury - Sydney
ABX,SYD,2007,4,"12,535",443,69.7,452,"5,665,820","8,126,056","17,978",,"152,695","5,378",69.6,,"69,018,140","99,235,244","219,547",,Albury - Sydney
ABX,SYD,2007,5,"13,313",488,66.5,452,"6,017,476","9,050,396","20,023",,"153,898","5,396",69.7,,"69,561,896","99,834,596","220,873",,Albury - Sydney
ABX,SYD,2007,6,"13,594",463,70.9,452,"6,144,488","8,668,456","19,178",,"155,610","5,419",69.9,,"70,335,720","100,562,768","222,484",,Albury - Sydney
